"","X","No.","Name","Nat","Birth.date","Batting.style","Bowling.style","Signed.year","Salary","Notes"
"1",1,"Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen","Batsmen"
"2",2,"21","Manish Pandey","","(1989-09-10) 10 September 1989 (age 30)","Right-handed","Right-arm off break","2018","<U+20B9>11 crore (US$1.6 million)",""
"3",3,"22","Kane Williamson","","(1990-08-08) 8 August 1990 (age 29)","Right-handed","Right-arm off break","2015","<U+20B9>3 crore (US$430,000)","Captain, Overseas"
"4",4,"31","David Warner","","(1986-10-27) 27 October 1986 (age 33)","Left-handed","Right-arm leg break","2014","<U+20B9>12 crore (US$1.7 million)","Overseas"
"5",5,"","Virat Singh","","(1997-12-08) 8 December 1997 (age 22)","Left-handed","Right-arm leg spin","2020","<U+20B9>1.9 crore (US$270,000)",""
"6",6,"","Priyam Garg","","(2000-11-30) 30 November 2000 (age 19)","Right-handed","Right-arm medium-fast","2020","<U+20B9>1.9 crore (US$270,000)",""
"7",7,"All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders","All-rounders"
"8",8,"7","Mohammad Nabi","","(1985-01-01) 1 January 1985 (age 34)","Right-handed","Right-arm off break","2017","<U+20B9>1 crore (US$140,000)","Overseas"
"9",9,"18","Abhishek Sharma","","(2000-09-04) 4 September 2000 (age 19)","Left-handed","Left-arm orthodox spin","2018","<U+20B9>55 lakh (US$80,000)",""
"10",10,"59","Vijay Shankar","","(1991-01-26) 26 January 1991 (age 28)","Right-handed","Right-arm medium-fast","2018","<U+20B9>3.2 crore (US$460,000)",""
"11",11,"","Mitchell Marsh","","(1991-10-20) 20 October 1991 (age 28)","Right-handed","Right-arm medium-fast","2020","<U+20B9>2 crore (US$290,000)","Overseas"
"12",12,"","Bavanaka Sandeep","","(1992-04-25) 25 April 1992 (age 27)","Left-handed","Left-arm orthodox spin","2020","<U+20B9>20 lakh (US$29,000)",""
"13",13,"","Fabian Allen","","(1995-05-07) 7 May 1995 (age 24)","Right-handed","Left-arm orthodox spin","2020","<U+20B9>50 lakh (US$72,000)","Overseas"
"14",14,"","Abdul Samad","","(2001-10-28) 28 October 2001 (age 18)","Right-handed","Right-arm leg break","2020","<U+20B9>20 lakh (US$29,000)",""
"15",15,"","Sanjay Yadav","","(1995-05-10) 10 May 1995 (age 24)","Left-handed","Left-arm orthodox spin","2020","<U+20B9>20 lakh (US$29,000)",""
"16",16,"Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers","Wicket-keepers"
"17",17,"3","Shreevats Goswami","","(1989-05-18) 18 May 1989 (age 30)","Left-handed","","2018","<U+20B9>1 crore (US$140,000)",""
"18",18,"6","Wriddhiman Saha","","(1984-10-24) 24 October 1984 (age 35)","Right-handed","","2018","<U+20B9>1.2 crore (US$170,000)",""
"19",19,"51","Jonny Bairstow","","(1989-09-26) 26 September 1989 (age 30)","Right-handed","Right-arm medium-fast","2019","<U+20B9>2.2 crore (US$320,000)","Overseas"
"20",20,"Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers","Bowlers"
"21",21,"8","Shahbaz Nadeem","","(1989-08-12) 12 August 1989 (age 30)","Right-handed","Left-arm orthodox spin","2018","<U+20B9>3.2 crore (US$460,000)",""
"22",22,"9","Siddarth Kaul","","(1990-05-19) 19 May 1990 (age 29)","Right-handed","Right-arm medium-fast","2016","<U+20B9>3.8 crore (US$550,000)",""
"23",23,"15","Bhuvneshwar Kumar","","(1990-02-05) 5 February 1990 (age 29)","Right-handed","Right-arm medium-fast","2014","<U+20B9>8.5 crore (US$1.2 million)",""
"24",24,"19","Rashid Khan","","(1998-09-20) 20 September 1998 (age 21)","Right-handed","Right-arm leg break","2017","<U+20B9>9 crore (US$1.3 million)","Overseas"
"25",25,"27","Khaleel Ahmed","","(1997-12-05) 5 December 1997 (age 22)","Right-handed","Left-arm medium-fast","2018","<U+20B9>3 crore (US$430,000)",""
"26",26,"30","Basil Thampi","","(1993-09-11) 11 September 1993 (age 26)","Right-handed","Right-arm medium-fast","2018","<U+20B9>95 lakh (US$140,000)",""
"27",27,"37","Billy Stanlake","","(1994-11-04) 4 November 1994 (age 25)","Left-handed","Right-arm medium-fast","2018","<U+20B9>50 lakh (US$72,000)","Overseas"
"28",28,"44","Thangarasu Natarajan","","(1991-05-27) 27 May 1991 (age 28)","Left-handed","Left-arm medium-fast","2018","<U+20B9>40 lakh (US$58,000)",""
"29",29,"66","Sandeep Sharma","","(1993-05-18) 18 May 1993 (age 26)","Right-handed","Right-arm medium-fast","2018","<U+20B9>3 crore (US$430,000)",""
